station,date_time_pdt,survey_year,survey_month,taxon_original,taxon_current,genus,species,kingdom,phylum,class,algal_group,organisms_per_ml,cells_per_ml,biovolume_cubic_micron_per_ml,gald,phyto_form,quality_check,debris
LH_WAT_1,2017-05-23 16:05:00,2017,05,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,4128.9,4128.9,594723.6,2.8,i,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,cf. Ochromonas sp.,None,Ochromonas,sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,375.4,375.4,54065.8,7.8,i,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,750.7,750.7,108131.6,5.6,i,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,150518.6,312298,44982732.4,0.65,c,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,cf. Planktolyngbya sp.,None,Planktolyngbya,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,375.4,2627.5,378460.5,1.1000000000000001,f,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,cf. Chroomonas rosenbergii,Chroomonas coerulea,Chroomonas,rosenbergii,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,375.4,375.4,54065.8,10.199999999999999,i,good,moderate
LH_SAV_1,2017-05-23 16:18:00,2017,05,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,5630.4,5630.4,810986.8,3.7,i,good,moderate
LH_SAV_1,2017-05-23 16:18:00,2017,05,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,1126.1,1126.1,162197.4,4.5999999999999996,i,good,moderate
LH_SAV_1,2017-05-23 16:18:00,2017,05,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,143386.8,293530.1,42279443.2,0.65,c,good,moderate
LH_SAV_1,2017-05-23 16:18:00,2017,05,cf. Chroomonas nordstedtii ,None,Chroomonas,nordstedtii ,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,375.4,375.4,54065.8,11.1,i,good,moderate
DI_WAT_1,2017-05-25 08:35:00,2017,05,Cocconeis sp.,None,Cocconeis,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,375.4,375.4,54065.8,11.5,i,fragmented,moderate
DI_WAT_1,2017-05-25 08:35:00,2017,05,Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,1501.4,1501.4,216263.1,10.199999999999999,i,good,moderate
DI_WAT_1,2017-05-25 08:35:00,2017,05,cf. Ulnaria sp.,None,Ulnaria,sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,375.4,375.4,54065.8,13,i,fragmented,moderate
DI_WAT_1,2017-05-25 08:35:00,2017,05,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,7882.5,7882.5,1135381.5,3.7,i,good,moderate
DI_WAT_1,2017-05-25 08:35:00,2017,05,Monoraphidium minutum,None,Monoraphidium,minutum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,375.4,375.4,54065.8,7.4,i,good,moderate
DI_WAT_1,2017-05-25 08:35:00,2017,05,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,142260.7,287524.3,41414390.7,0.65,c,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Achnanthidium minutissimum,None,Achnanthidium,minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,1126.1,1126.1,162197.4,9.3000000000000007,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Bacillaria paxillifera,None,Bacillaria,paxillifera,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,563,563,81098.7,90.7,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Gomphonema parvulum,None,Gomphonema,parvulum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,563,563,81098.7,11.1,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Nitzschia palea,None,Nitzschia,palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,1126.1,1126.1,162197.4,18.5,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,563,563,81098.7,37.9,i,fragmented,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,cf. Thalassiosira sp.,None,Thalassiosira,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,1126.1,1126.1,162197.4,5.6,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,8445.6,8445.6,1216480.1,2.8,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Monoraphidium tortile,None,Monoraphidium,tortile,Plantae,Chlorophyta,Chlorophyceae,Green Algae,563,563,81098.7,12,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,1689.1,1689.1,243296,8.3000000000000007,i,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,211702,436916.9,62932572.8,0.65,c,good,moderate
DI_SAV_1,2017-05-25 09:07:00,2017,05,cf. Chroococcus minutus,None,Chroococcus,minutus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,1126.1,1126.1,162197.4,6,i,good,moderate
FI_SAV_1,2017-06-05 14:09:00,2017,06,Achnanthidium minutissimum,None,Achnanthidium,minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,643.5,643.5,92684.2,7.4,i,good,high
FI_SAV_1,2017-06-05 14:09:00,2017,06,cf. Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,1930.4,1930.4,278052.6,4.5999999999999996,i,good,high
FI_SAV_1,2017-06-05 14:09:00,2017,06,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,7721.7,7721.7,1112210.4,3.7,i,good,high
FI_SAV_1,2017-06-05 14:09:00,2017,06,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,643.5,643.5,92684.2,4.5999999999999996,i,good,high
FI_SAV_1,2017-06-05 14:09:00,2017,06,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,643.5,643.5,92684.2,7.4,i,good,high
FI_SAV_1,2017-06-05 14:09:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,253527.6,521855.1,75166887.4,0.65,c,good,high
FI_SAV_1,2017-06-05 14:09:00,2017,06,cf. Synechococcus sp.,None,Synechococcus,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,643.5,11582.5,1668315.6,1.9,c,good,high
FI_WAT_1,2017-06-05 14:30:00,2017,06,Achnanthidium minutissimum,None,Achnanthidium,minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,563,563,81098.7,9.3000000000000007,i,good,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,Aulacoseira sp.,None,Aulacoseira,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,563,563,81098.7,9.3000000000000007,i,fragmented,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,1126.1,1126.1,162197.4,10.199999999999999,i,good,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,Nitzschia palea,None,Nitzschia,palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,563,563,81098.7,24.1,i,good,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,563,563,81098.7,32.4,i,good,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,7882.5,7882.5,1135381.5,2.2000000000000002,i,good,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,4504.3,4504.3,648789.4,7.4,i,good,moderate
FI_WAT_1,2017-06-05 14:30:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,226341,460001.4,66257618.5,0.65,c,good,moderate
LH_SAV_1,2017-06-05 15:40:00,2017,06,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,450.4,450.4,64878.9,20.399999999999999,i,good,NA
LH_SAV_1,2017-06-05 15:40:00,2017,06,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,450.4,450.4,64878.9,13,i,fragmented,NA
LH_SAV_1,2017-06-05 15:40:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,236926.1,470248.7,67733614.4,0.65,c,good,NA
LH_SAV_1,2017-06-05 15:40:00,2017,06,Chroococcus sp.,None,Chroococcus,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,450.4,900.9,129757.9,2,c,good,NA
LH_WAT_1,2017-06-05 16:05:00,2017,06,cf. Thalassiosira sp.,None,Thalassiosira,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,750.7,750.7,108131.6,8.3000000000000007,i,good,high
LH_WAT_1,2017-06-05 16:05:00,2017,06,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,6005.7,6005.7,865052.5,3.7,i,good,high
LH_WAT_1,2017-06-05 16:05:00,2017,06,Monoraphidium tortile,None,Monoraphidium,tortile,Plantae,Chlorophyta,Chlorophyceae,Green Algae,375.4,375.4,54065.8,14.8,i,good,high
LH_WAT_1,2017-06-05 16:05:00,2017,06,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,1126.1,1126.1,162197.4,6.5,i,good,high
LH_WAT_1,2017-06-05 16:05:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,162154.7,329564.5,47469758.5,0.65,c,good,high
DI_SAV_2,2017-06-07 11:21:00,2017,06,Amphora sp.,None,Amphora,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,900.9,900.9,129757.9,18.5,i,good,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Aulacoseira sp.,None,Aulacoseira,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,450.4,450.4,64878.9,29.6,i,good,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Cocconeis placentula,None,Cocconeis,placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,2702.6,2702.6,389273.6,13,i,good,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Gomphonema sp.,None,Gomphonema,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,1351.3,1351.3,194636.8,7.4,i,good,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Melosira varians,None,Melosira,varians,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,450.4,450.4,64878.9,25.9,i,good,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,2702.6,2702.6,389273.6,22.5,i,good,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Ulnaria sp.,None,Ulnaria,sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,450.4,450.4,64878.9,11.1,i,fragmented,NA
DI_SAV_2,2017-06-07 11:21:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,203594.3,422503.1,60856446.7,0.65,c,good,NA
DI_WAT_2,2017-06-07 11:35:00,2017,06,Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,750.7,750.7,108131.6,7.4,i,good,moderate
DI_WAT_2,2017-06-07 11:35:00,2017,06,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,2252.1,2252.1,324394.7,1.9,i,good,moderate
DI_WAT_2,2017-06-07 11:35:00,2017,06,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,1501.4,1501.4,216263.1,2.8,i,good,moderate
DI_WAT_2,2017-06-07 11:35:00,2017,06,cf. Kephyrion sp.,None,Kephyrion,sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,375.4,375.4,54065.8,5.6,i,good,moderate
DI_WAT_2,2017-06-07 11:35:00,2017,06,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,3378.2,3378.2,486592.1,5.6,i,good,moderate
DI_WAT_2,2017-06-07 11:35:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,147515.8,302538.7,43577022,0.65,c,good,moderate
DI_WAT_2,2017-06-07 11:35:00,2017,06,cf. Planktolyngbya sp.,None,Planktolyngbya,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,375.4,3378.2,486592.1,1.9,f,degraded,moderate
DI_WAT_1,2017-06-07 12:50:00,2017,06,Cocconeis placentula,None,Cocconeis,placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,643.5,643.5,92684.2,20.399999999999999,i,good,NA
DI_WAT_1,2017-06-07 12:50:00,2017,06,Ulnaria sp.,None,Ulnaria,sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,643.5,643.5,92684.2,9.3000000000000007,i,fragmented,NA
DI_WAT_1,2017-06-07 12:50:00,2017,06,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,321.7,321.7,46342.1,9.3000000000000007,i,good,NA
DI_WAT_1,2017-06-07 12:50:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,147033.1,338144.1,48705547.9,0.65,c,good,NA
DI_WAT_1,2017-06-07 12:50:00,2017,06,cf. Leptolyngbya sp.,None,Leptolyngbya,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,321.7,5469.5,787815.7,1.9,f,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Cocconeis placentula,None,Cocconeis,placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,375.4,375.4,54065.8,20.399999999999999,i,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,cf. Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,1126.1,1126.1,162197.4,6.5,i,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Nitzschia cf. inconspicua,None,Nitzschia,inconspicua,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,375.4,375.4,54065.8,7.4,i,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,1126.1,1126.1,162197.4,18.5,i,fragmented,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Actinastrum hantzschii,None,Actinastrum,hantzschii,Plantae,Chlorophyta,Chlorophyceae,Green Algae,375.4,1501.4,216263.1,5.6,c,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Plagioselmis sp.,None,Plagioselmis,sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,750.7,750.7,108131.6,7.4,i,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,167034.4,368601.7,53092600.1,0.65,c,good,NA
DI_SAV_1,2017-06-07 13:30:00,2017,06,Achnanthidium catenatum,None,Achnanthidium,catenatum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,375.4,375.4,54065.8,11.1,i,good,NA
LH_WAT_1,2017-06-29 08:03:00,2017,07,cf. Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,300.3,300.3,43252.6,8.3000000000000007,i,good,moderate
LH_WAT_1,2017-06-29 08:03:00,2017,07,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,300.3,300.3,43252.6,5.6,i,good,moderate
LH_WAT_1,2017-06-29 08:03:00,2017,07,cf. Ochromonas sp.,None,Ochromonas,sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,300.3,300.3,43252.6,5.6,i,good,moderate
LH_WAT_1,2017-06-29 08:03:00,2017,07,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,133627.5,309595.4,44593458.8,0.65,c,good,moderate
LH_SAV_1,2017-06-29 08:20:00,2017,07,Achnanthidium sp.,None,Achnanthidium,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,900.9,900.9,129757.9,13,i,good,moderate
LH_SAV_1,2017-06-29 08:20:00,2017,07,cf. Thalassiosira sp.,None,Thalassiosira,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,450.4,450.4,64878.9,4.5999999999999996,i,good,moderate
LH_SAV_1,2017-06-29 08:20:00,2017,07,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,6756.4,6756.4,973184.1,2.8,i,good,moderate
LH_SAV_1,2017-06-29 08:20:00,2017,07,cf. Ochromonas sp.,None,Ochromonas,sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,450.4,450.4,64878.9,5.6,i,good,moderate
LH_SAV_1,2017-06-29 08:20:00,2017,07,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,195036.1,392774.8,56574436.6,0.65,c,good,moderate
LH_SAV_1,2017-06-29 08:20:00,2017,07,cf. Synechococcus sp.,None,Synechococcus,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,900.9,11260.7,1621973.5,1.9,c,good,moderate
LH_WAT_2,2017-06-29 08:40:00,2017,07,Achnanthidium sp.,None,Achnanthidium,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,450.4,450.4,64878.9,11.1,i,good,NA
LH_WAT_2,2017-06-29 08:40:00,2017,07,Monoraphidium sp.,None,Monoraphidium,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,450.4,450.4,64878.9,15,i,good,NA
LH_WAT_2,2017-06-29 08:40:00,2017,07,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,265303.1,547722.6,78892792.3,0.65,c,good,NA
LH_SAV_2,2017-06-29 08:58:00,2017,07,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,6756.4,6756.4,973184.1,3.7,i,good,moderate
LH_SAV_2,2017-06-29 08:58:00,2017,07,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,450.4,450.4,64878.9,3.7,i,good,moderate
LH_SAV_2,2017-06-29 08:58:00,2017,07,Monoraphidium minutum,None,Monoraphidium,minutum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,450.4,450.4,64878.9,9.3000000000000007,i,good,moderate
LH_SAV_2,2017-06-29 08:58:00,2017,07,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,208098.6,423854.4,61051083.5,0.65,c,good,moderate
LH_SAV_2,2017-06-29 08:58:00,2017,07,cf. Synechococcus sp.,None,Synechococcus,sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,1351.3,26575.4,3827857.5,1.9,c,good,moderate
FI_SAV_2,2017-06-29 09:20:00,2017,07,Achnanthidium sp.,None,Achnanthidium,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,1001,1001,144175.4,7.4,i,good,low
FI_SAV_2,2017-06-29 09:20:00,2017,07,Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,250.2,250.2,36043.9,5.6,i,good,low
FI_SAV_2,2017-06-29 09:20:00,2017,07,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,5755.5,5755.5,829008.7,4.5999999999999996,i,good,low
FI_SAV_2,2017-06-29 09:20:00,2017,07,cf. Cryptomonas sp.,None,Cryptomonas,sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,250.2,250.2,36043.9,8.3000000000000007,i,good,low
FI_SAV_2,2017-06-29 09:20:00,2017,07,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,250.2,250.2,36043.9,5.6,i,good,low
