date,time,site,taxon,genus,density,type,volume_avg
9/28/2017,15:10,LH_SAV_2,Gomphonema olivaceum,Gomphonema,112.6074443,i,630.30
9/28/2017,15:10,LH_SAV_2,Nitzschia palea,Nitzschia,112.6074443,i,187.00
9/28/2017,15:10,LH_SAV_2,cf. Chlamydomonas sp.,Chlamydomonas,112.6074443,i,108.72
9/28/2017,15:10,LH_SAV_2,Chlorella sp.,Chlorella,4391.690327,i,26.52
9/28/2017,15:10,LH_SAV_2,cf. Oocystis sp.,Oocystis,337.8223328,i,12.97
9/28/2017,15:10,LH_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,563.0372214,i,348.70
9/28/2017,15:10,LH_SAV_2,Plagioselmis prolonga,Plagioselmis,1013.466999,i,76.35
9/28/2017,15:10,LH_SAV_2,Chroococcus microscopicus,Chroococcus,42790.82883,c,0.17
9/28/2017,15:10,LH_SAV_2,Planktolyngbya sp.,Planktolyngbya,112.6074443,f,0.25
9/28/2017,15:10,LH_SAV_2,Strobilidium sp.,Strobilidium,112.6074443,i,40478.75
9/28/2017,13:35,LH_WAT_1,Cocconeis placentula,Cocconeis,375.3581476,i,267.89
9/28/2017,13:35,LH_WAT_1,Cocconeis sp.,Cocconeis,187.6790738,i,214.88
9/28/2017,13:35,LH_WAT_1,Navicula sp.,Navicula,187.6790738,i,481.69
9/28/2017,13:35,LH_WAT_1,Nitzschia sp.,Nitzschia,187.6790738,i,38.08
9/28/2017,13:35,LH_WAT_1,cf. Ulnaria sp.,Ulnaria,187.6790738,i,278.14
9/28/2017,13:35,LH_WAT_1,Chlorella sp.,Chlorella,6568.767583,i,3.59
9/28/2017,13:35,LH_WAT_1,cf. Oocystis sp.,Oocystis,187.6790738,i,16.89
9/28/2017,13:35,LH_WAT_1,Plagioselmis nannoplanctica,Plagioselmis,187.6790738,i,314.74
9/28/2017,13:35,LH_WAT_1,Plagioselmis prolonga,Plagioselmis,3190.544255,i,112.82
9/28/2017,13:35,LH_WAT_1,Chroococcus microscopicus,Chroococcus,66626.0712,c,0.17
9/28/2017,15:45,FI_WAT_2,Cocconeis placentula,Cocconeis,100.095506,i,190.74
9/28/2017,15:45,FI_WAT_2,Craticula sp.,Craticula,100.095506,i,608.22
9/28/2017,15:45,FI_WAT_2,Cyclotella meneghiniana,Cyclotella,100.095506,i,1599.91
9/28/2017,15:45,FI_WAT_2,Cyclotella sp.,Cyclotella,100.095506,i,698.83
9/28/2017,15:45,FI_WAT_2,Encyonema cf. silesiacum,Encyonema,100.095506,i,59.40
9/28/2017,15:45,FI_WAT_2,Chlorella sp.,Chlorella,5004.775301,i,26.52
9/28/2017,15:45,FI_WAT_2,cf. Westella botryoides,Westella,100.095506,c,11.49
9/28/2017,15:45,FI_WAT_2,Plagioselmis prolonga,Plagioselmis,900.8595543,i,159.13
9/28/2017,15:45,FI_WAT_2,Chroococcus microscopicus,Chroococcus,36735.05071,c,0.17
9/28/2017,16:07,FI_SAV_2,Achnanthidium minutissimum,Achnanthidium,720.6876434,i,90.32
9/28/2017,16:07,FI_SAV_2,Cocconeis placentula,Cocconeis,1801.719109,i,244.22
9/28/2017,16:07,FI_SAV_2,Gomphonema augur,Gomphonema,180.1719109,i,327.14
9/28/2017,16:07,FI_SAV_2,Ulnaria ulna,Ulnaria,180.1719109,i,10540.25
9/28/2017,16:07,FI_SAV_2,Chlorella sp.,Chlorella,6125.844969,i,7.24
9/28/2017,16:07,FI_SAV_2,Oedogonium sp.,Oedogonium,180.1719109,f,51432.99
9/28/2017,16:07,FI_SAV_2,cf. Ochromonas sp.,Ochromonas,360.3438217,i,199.27
9/28/2017,16:07,FI_SAV_2,Cryptomonas erosa,Cryptomonas,360.3438217,i,533.85
9/28/2017,16:07,FI_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,1981.891019,i,538.68
9/28/2017,16:07,FI_SAV_2,Plagioselmis prolonga,Plagioselmis,1621.547198,i,71.43
9/28/2017,16:07,FI_SAV_2,Chroococcus microscopicus,Chroococcus,60898.10587,c,0.17
9/28/2017,16:07,FI_SAV_2,Planktolyngbya sp.,Planktolyngbya,180.1719109,f,0.83
9/27/2017,11:45,DI_WAT_1,Achnanthidium sp.,Achnanthidium,80.43388877,i,99.99
9/27/2017,11:45,DI_WAT_1,Cyclotella sp.,Cyclotella,160.8677775,i,240.85
9/27/2017,11:45,DI_WAT_1,Navicula spp.,Navicula,160.8677775,i,170.87
9/27/2017,11:45,DI_WAT_1,Nitzschia sp.,Nitzschia,80.43388877,i,76.66
9/27/2017,11:45,DI_WAT_1,cf. Skeletonema sp.,Skeletonema,160.8677775,i,55.85
9/27/2017,11:45,DI_WAT_1,Chlorella sp.,Chlorella,4584.73166,i,11.49
9/27/2017,11:45,DI_WAT_1,cf. Ochromonas sp.,Ochromonas,482.6033326,i,91.95
9/27/2017,11:45,DI_WAT_1,Cryptomonas erosa,Cryptomonas,80.43388877,i,756.28
9/27/2017,11:45,DI_WAT_1,Plagioselmis nannoplanctica,Plagioselmis,160.8677775,i,567.71
9/27/2017,11:45,DI_WAT_1,Plagioselmis prolonga,Plagioselmis,723.904999,i,95.47
9/27/2017,11:45,DI_WAT_1,Chroococcus microscopicus,Chroococcus,29680.10496,c,0.17
9/27/2017,11:45,DI_WAT_1,Merismopedia tenuissima,Merismopedia,80.43388877,c,0.73
9/27/2017,12:47,DI_WAT_2,Aulacoseira sp. ,Aulacoseira,214.4903701,i,286.40
9/27/2017,12:47,DI_WAT_2,Cocconeis placentula,Cocconeis,321.7355551,i,306.43
9/27/2017,12:47,DI_WAT_2,cf. Cocconeis sp.,Cocconeis,107.245185,i,88.34
9/27/2017,12:47,DI_WAT_2,cf. Craticula sp.,Craticula,107.245185,i,223.76
9/27/2017,12:47,DI_WAT_2,Chlorella sp.,Chlorella,3324.600736,i,7.24
9/27/2017,12:47,DI_WAT_2,cf. Pedinomonas sp.,Pedinomonas,107.245185,i,11.49
9/27/2017,12:47,DI_WAT_2,cf. Ochromonas sp.,Ochromonas,107.245185,i,258.03
9/27/2017,12:47,DI_WAT_2,Plagioselmis nannoplanctica,Plagioselmis,643.4711102,i,387.21
9/27/2017,12:47,DI_WAT_2,Plagioselmis prolonga,Plagioselmis,965.2066653,i,53.01
9/27/2017,12:47,DI_WAT_2,Rhodomonas lacustris,Rhodomonas,107.245185,i,616.09
9/27/2017,12:47,DI_WAT_2,Chroococcus microscopicus,Chroococcus,42361.84809,c,0.17
9/27/2017,12:47,DI_WAT_2,cf. Planktolyngbya sp.,Planktolyngbya,107.245185,f,2.52
9/28/2017,12:27,FI_WAT_1,Cocconeis placentula,Cocconeis,187.6790738,i,467.52
9/28/2017,12:27,FI_WAT_1,Chlorella sp.,Chlorella,4598.137308,i,11.49
9/28/2017,12:27,FI_WAT_1,Desmodesmus sp.,Desmodesmus,93.8395369,c,10.59
9/28/2017,12:27,FI_WAT_1,cf. Ochromonas sp.,Ochromonas,375.3581476,i,421.16
9/28/2017,12:27,FI_WAT_1,Plagioselmis nannoplanctica,Plagioselmis,281.5186107,i,211.11
9/28/2017,12:27,FI_WAT_1,Plagioselmis prolonga,Plagioselmis,1407.593054,i,106.19
9/28/2017,12:27,FI_WAT_1,Chroococcus microscopicus,Chroococcus,38192.69152,c,0.17
9/28/2017,14:52,LH_WAT_2,Aulacoseira alpigena,Aulacoseira,128.694222,i,150.24
9/28/2017,14:52,LH_WAT_2,Cocconeis placentula,Cocconeis,257.3884441,i,129.20
9/28/2017,14:52,LH_WAT_2,Cyclotella sp.,Cyclotella,128.694222,i,72.65
9/28/2017,14:52,LH_WAT_2,Chlorella sp.,Chlorella,5405.157326,i,15.60
9/28/2017,14:52,LH_WAT_2,cf. Oocystis sp.,Oocystis,128.694222,i,13.87
9/28/2017,14:52,LH_WAT_2,cf. Ochromonas sp.,Ochromonas,128.694222,i,26.52
9/28/2017,14:52,LH_WAT_2,Plagioselmis nannoplanctica,Plagioselmis,128.694222,i,403.12
9/28/2017,14:52,LH_WAT_2,cf. Plagioselmis prolonga,Plagioselmis,514.7768881,i,76.35
9/28/2017,14:52,LH_WAT_2,Chroococcus microscopicus,Chroococcus,44656.89505,c,0.17
9/28/2017,13:00,FI_SAV_1,Achnanthidium minutissimum,Achnanthidium,93.8395369,i,29.73
9/28/2017,13:00,FI_SAV_1,Cocconeis placentula,Cocconeis,469.1976845,i,281.19
9/28/2017,13:00,FI_SAV_1,Chlamydomonas sp.,Chlamydomonas,93.8395369,i,60.75
9/28/2017,13:00,FI_SAV_1,Chlorella sp.,Chlorella,3753.581476,i,26.52
9/28/2017,13:00,FI_SAV_1,Plagioselmis nannoplanctica,Plagioselmis,844.5558321,i,307.94
9/28/2017,13:00,FI_SAV_1,Plagioselmis prolonga,Plagioselmis,1689.111664,i,98.44
9/28/2017,13:00,FI_SAV_1,Chroococcus microscopicus,Chroococcus,31905.44255,c,0.17
11/30/2017,15:42,FI_WAT_2,Achnanthidium minutissimum,Achnanthidium,450.4297771,i,136.35
11/30/2017,15:42,FI_WAT_2,Cocconeis cf. pediculus,Cocconeis,112.6074443,i,952.13
11/30/2017,15:42,FI_WAT_2,Nitzschia fruticosa,Nitzschia,1689.111664,i,86.51
11/30/2017,15:42,FI_WAT_2,Chlorella sp.,Chlorella,1463.896776,i,7.24
11/30/2017,15:42,FI_WAT_2,cf. Ochromonas sp.,Ochromonas,225.2148886,i,76.35
11/30/2017,15:42,FI_WAT_2,Plagioselmis nannoplanctica,Plagioselmis,112.6074443,i,227.25
11/30/2017,15:42,FI_WAT_2,Plagioselmis prolonga,Plagioselmis,337.8223328,i,68.96
11/30/2017,15:42,FI_WAT_2,Rhodomonas lacustris,Rhodomonas,563.0372214,i,577.39
11/30/2017,15:42,FI_WAT_2,Chroococcus microscopicus,Chroococcus,41777.36183,c,0.17
10/30/2017,13:21,LH_SAV_2,Nitzschia palea,Nitzschia,80.43388877,i,105.67
10/30/2017,13:21,LH_SAV_2,Chlorella sp.,Chlorella,4423.863883,i,11.49
10/30/2017,13:21,LH_SAV_2,cf. Ochromonas sp.,Ochromonas,402.1694439,i,186.37
10/30/2017,13:21,LH_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,241.3016663,i,257.60
10/30/2017,13:21,LH_SAV_2,Plagioselmis prolonga,Plagioselmis,1849.979442,i,76.35
10/30/2017,13:21,LH_SAV_2,Chroococcus microscopicus,Chroococcus,29197.50162,c,0.17
10/30/2017,13:21,LH_SAV_2,cf. Pseudanabaena sp.,Pseudanabaena,80.43388877,f,6.11
10/30/2017,16:13,FI_SAV_2,Achnanthidium minutissimum,Achnanthidium,80.43388877,i,75.67
10/30/2017,16:13,FI_SAV_2,Achnanthidium sp.,Achnanthidium,160.8677775,i,82.99
10/30/2017,16:13,FI_SAV_2,cf. Navicula sp.,Navicula,80.43388877,i,255.73
10/30/2017,16:13,FI_SAV_2,Nitzschia palea,Nitzschia,241.3016663,i,80.98
10/30/2017,16:13,FI_SAV_2,Chlorella sp.,Chlorella,2171.714997,i,7.24
10/30/2017,16:13,FI_SAV_2,cf. Ochromonas sp.,Ochromonas,965.2066653,i,122.78
10/30/2017,16:13,FI_SAV_2,Cryptomonas erosa,Cryptomonas,241.3016663,i,744.24
10/30/2017,16:13,FI_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,321.7355551,i,387.21
10/30/2017,16:13,FI_SAV_2,Plagioselmis prolonga,Plagioselmis,1447.809998,i,122.78
10/30/2017,16:13,FI_SAV_2,Rhodomonas lacustris,Rhodomonas,241.3016663,i,616.09
10/30/2017,16:13,FI_SAV_2,Chroococcus microscopicus,Chroococcus,29358.3694,c,0.17
11/30/2017,14:15,LH_WAT_2,Cyclotella sp.,Cyclotella,514.7768881,i,108.13
11/30/2017,14:15,LH_WAT_2,Diatoma moniliformis,Diatoma,128.694222,i,156.40
11/30/2017,14:15,LH_WAT_2,Navicula gregaria,Navicula,128.694222,i,1223.76
11/30/2017,14:15,LH_WAT_2,Nitzschia sp.,Nitzschia,128.694222,i,67.34
11/30/2017,14:15,LH_WAT_2,Chlorella sp.,Chlorella,4504.297771,i,7.24
11/30/2017,14:15,LH_WAT_2,Plagioselmis nannoplanctica,Plagioselmis,257.3884441,i,538.68
11/30/2017,14:15,LH_WAT_2,Plagioselmis prolonga,Plagioselmis,2573.884441,i,159.13
11/30/2017,14:15,LH_WAT_2,Chroococcus microscopicus,Chroococcus,44656.89505,c,0.17
11/30/2017,15:14,FI_SAV_1,Cocconeis placentula,Cocconeis,160.8677775,i,653.49
11/30/2017,15:14,FI_SAV_1,Cocconeis placentula,Cocconeis,80.43388877,i,156.57
11/30/2017,15:14,FI_SAV_1,Nitzschia inconspicua,Nitzschia,80.43388877,i,48.17
11/30/2017,15:14,FI_SAV_1,Nitzschia palea,Nitzschia,80.43388877,i,114.98
11/30/2017,15:14,FI_SAV_1,Nitzschia cf. sigma,Nitzschia,80.43388877,i,1875.53
11/30/2017,15:14,FI_SAV_1,Chlorella sp.,Chlorella,4021.694439,i,26.52
11/30/2017,15:14,FI_SAV_1,cf. Kirchneriella sp.,Kirchneriella,241.3016663,i,40.23
11/30/2017,15:14,FI_SAV_1,cf. Oocystis sp.,Oocystis,80.43388877,c,16.89
11/30/2017,15:14,FI_SAV_1,Plagioselmis prolonga,Plagioselmis,1367.376109,i,127.11
11/30/2017,15:14,FI_SAV_1,Rhodomonas lacustris,Rhodomonas,321.7355551,i,821.19
11/30/2017,15:14,FI_SAV_1,Chroococcus microscopicus,Chroococcus,30162.70829,c,0.17
10/30/2017,13:48,LH_WAT_1,Cocconeis sp.,Cocconeis,150.143259,i,108.64
10/30/2017,13:48,LH_WAT_1,Cyclotella sp.,Cyclotella,600.5730362,i,53.73
10/30/2017,13:48,LH_WAT_1,Nitzschia sp.,Nitzschia,150.143259,i,23.47
10/30/2017,13:48,LH_WAT_1,Chlorella sp.,Chlorella,4654.44103,i,7.24
10/30/2017,13:48,LH_WAT_1,cf. Ochromonas sp.,Ochromonas,900.8595543,i,76.35
10/30/2017,13:48,LH_WAT_1,Plagioselmis nannoplanctica,Plagioselmis,300.2865181,i,464.70
10/30/2017,13:48,LH_WAT_1,Plagioselmis prolonga,Plagioselmis,1201.146072,i,101.31
10/30/2017,13:48,LH_WAT_1,Chroococcus microscopicus,Chroococcus,53150.7137,c,0.17
11/30/2017,13:40,LH_SAV_1,Achnanthidium minutissimum,Achnanthidium,300.2865181,i,89.24
11/30/2017,13:40,LH_SAV_1,Nitzschia sp.,Nitzschia,150.143259,i,76.66
11/30/2017,13:40,LH_SAV_1,Chlorella sp.,Chlorella,6005.730362,i,26.52
11/30/2017,13:40,LH_SAV_1,cf. Plagioselmis prolonga,Plagioselmis,2102.005627,i,76.35
11/30/2017,13:40,LH_SAV_1,Chroococcus microscopicus,Chroococcus,56904.29518,c,0.17
10/30/2017,15:02,FI_WAT_1,Amphora sp.,Amphora,93.8395369,i,594.19
10/30/2017,15:02,FI_WAT_1,Aulacoseira sp. ,Aulacoseira,187.6790738,i,163.66
10/30/2017,15:02,FI_WAT_1,Cocconeis placentula,Cocconeis,93.8395369,i,216.44
10/30/2017,15:02,FI_WAT_1,Cocconeis sp.,Cocconeis,187.6790738,i,77.72
10/30/2017,15:02,FI_WAT_1,Cyclotella sp.,Cyclotella,93.8395369,i,46.53
10/30/2017,15:02,FI_WAT_1,Navicula sp.,Navicula,93.8395369,i,764.85
10/30/2017,15:02,FI_WAT_1,Nitzschia cf. gracilis,Nitzschia,93.8395369,i,103.47
10/30/2017,15:02,FI_WAT_1,Planothidium dubium,Planothidium,93.8395369,i,131.00
10/30/2017,15:02,FI_WAT_1,Chlorella sp.,Chlorella,4879.655919,i,7.24
10/30/2017,15:02,FI_WAT_1,Plagioselmis prolonga,Plagioselmis,1876.790738,i,167.73
10/30/2017,15:02,FI_WAT_1,Chroococcus microscopicus,Chroococcus,34814.46819,c,0.17
10/30/2017,14:32,LH_SAV_1,Encyonema silesiacum,Encyonema,150.143259,i,445.07
10/30/2017,14:32,LH_SAV_1,Nitzschia sp.,Nitzschia,150.143259,i,33.74
10/30/2017,14:32,LH_SAV_1,cf. Chlamydomonas sp.,Chlamydomonas,300.2865181,i,60.75
10/30/2017,14:32,LH_SAV_1,Chlorella sp.,Chlorella,4204.011253,i,11.49
10/30/2017,14:32,LH_SAV_1,cf. Plagioselmis prolonga,Plagioselmis,1801.719109,i,76.35
10/30/2017,14:32,LH_SAV_1,Chroococcus microscopicus,Chroococcus,57504.86821,c,0.17
11/30/2017,15:00,FI_WAT_1,Achnanthidium sp.,Achnanthidium,112.6074443,i,90.32
11/30/2017,15:00,FI_WAT_1,Chlorella sp.,Chlorella,4616.905216,i,11.49
11/30/2017,15:00,FI_WAT_1,cf. Ochromonas sp.,Ochromonas,900.8595543,i,138.00
11/30/2017,15:00,FI_WAT_1,Plagioselmis nannoplanctica,Plagioselmis,2364.75633,i,314.74
11/30/2017,15:00,FI_WAT_1,Chroococcus microscopicus,Chroococcus,40200.85761,c,0.17
10/30/2017,13:08,LH_WAT_2,Aulacoseira sp. ,Aulacoseira,112.6074443,i,580.61
10/30/2017,13:08,LH_WAT_2,Cyclotella sp.,Cyclotella,225.2148886,i,716.09
10/30/2017,13:08,LH_WAT_2,Nitzschia sp.,Nitzschia,112.6074443,i,36.71
10/30/2017,13:08,LH_WAT_2,Nitzschia sp.,Nitzschia,112.6074443,i,62.16
10/30/2017,13:08,LH_WAT_2,Chlorella sp.,Chlorella,4504.297771,i,11.49
10/30/2017,13:08,LH_WAT_2,cf. Westella botryoides,Westella,112.6074443,c,41.63
10/30/2017,13:08,LH_WAT_2,cf. Ochromonas sp.,Ochromonas,900.8595543,i,113.98
10/30/2017,13:08,LH_WAT_2,Plagioselmis nannoplanctica,Plagioselmis,112.6074443,i,430.35
10/30/2017,13:08,LH_WAT_2,Plagioselmis prolonga,Plagioselmis,2815.186107,i,159.13
10/30/2017,13:08,LH_WAT_2,Chroococcus microscopicus,Chroococcus,41889.96927,c,0.17
11/30/2017,14:25,LH_SAV_2,Cyclotella sp.,Cyclotella,187.6790738,i,134.37
11/30/2017,14:25,LH_SAV_2,Nitzschia sp.,Nitzschia,187.6790738,i,30.14
11/30/2017,14:25,LH_SAV_2,Chlorella sp.,Chlorella,4410.458234,i,3.59
11/30/2017,14:25,LH_SAV_2,Drepanochloris nannoselene,Drepanochloris,93.8395369,i,3.21
11/30/2017,14:25,LH_SAV_2,Kephyrion sp.,Kephyrion,93.8395369,i,40.14
11/30/2017,14:25,LH_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,656.8767583,i,387.21
11/30/2017,14:25,LH_SAV_2,Plagioselmis prolonga,Plagioselmis,1970.630275,i,76.35
11/30/2017,14:25,LH_SAV_2,Chroococcus microscopicus,Chroococcus,32749.99838,c,0.17
11/30/2017,15:30,FI_SAV_2,Cyclotella sp.,Cyclotella,80.43388877,i,60.87
11/30/2017,15:30,FI_SAV_2,Chlorella sp.,Chlorella,2573.884441,i,15.60
11/30/2017,15:30,FI_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,804.3388877,i,307.94
11/30/2017,15:30,FI_SAV_2,Plagioselmis prolonga,Plagioselmis,1126.074443,i,112.82
11/30/2017,15:30,FI_SAV_2,Chroococcus microscopicus,Chroococcus,29438.80329,c,0.17
11/30/2017,13:20,LH_WAT_1,Cocconeis placentula,Cocconeis,100.095506,i,572.01
11/30/2017,13:20,LH_WAT_1,Cyclotella sp.,Cyclotella,100.095506,i,46.23
11/30/2017,13:20,LH_WAT_1,Nitzschia palea,Nitzschia,100.095506,i,188.70
11/30/2017,13:20,LH_WAT_1,Nitzschia spp.,Nitzschia,300.2865181,i,137.01
11/30/2017,13:20,LH_WAT_1,Chlorella sp.,Chlorella,5004.775301,i,7.24
11/30/2017,13:20,LH_WAT_1,Kephyrion sp.,Kephyrion,100.095506,i,266.65
11/30/2017,13:20,LH_WAT_1,Plagioselmis nannoplanctica,Plagioselmis,100.095506,i,314.74
11/30/2017,13:20,LH_WAT_1,Plagioselmis prolonga,Plagioselmis,2702.578663,i,76.35
11/30/2017,13:20,LH_WAT_1,cf. Rhodomonas lacustris,Rhodomonas,100.095506,i,942.40
