"sample","island","stratum","site","date_time","date","sample_month","category","taxon","genus","sp","stage","tot_vol_m3","indiv_per_ml","cloud","wind_wave","depth_m","temp_c","cond_uscm","do_mgl","ph","turb_ntu","chlor"
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CLADOCERA","Ilyocryptus","Ilyocryptus",NA,"not_spec",1.48440252882118,1.03071772669037e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CLADOCERA","Simocephalus","Simocephalus",NA,"not_spec",1.48440252882118,3.43572575563457e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-SAV-1","DI","SAV","1",2017-09-27 12:25:00,2017-09-27,10,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.41371669411541,7.1043076046817e-05,1,0,1.3,19.3,135,11.07,8.37,3.4,0.86
"DI-SAV-1","DI","SAV","1",2017-09-27 12:25:00,2017-09-27,10,"CALANOIDS","Acartiella sinensis","Acartiella","sinensis","not_spec",1.41371669411541,2.0298021727662e-06,1,0,1.3,19.3,135,11.07,8.37,3.4,0.86
"DI-SAV-1","DI","SAV","1",2017-09-27 12:25:00,2017-09-27,10,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.41371669411541,4.0596043455324e-06,1,0,1.3,19.3,135,11.07,8.37,3.4,0.86
"DI-SAV-1","DI","SAV","1",2017-09-27 12:25:00,2017-09-27,10,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.41371669411541,1.0149010863831e-06,1,0,1.3,19.3,135,11.07,8.37,3.4,0.86
"DI-SAV-1","DI","SAV","1",2017-09-27 12:25:00,2017-09-27,10,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.41371669411541,1.0149010863831e-06,1,0,1.3,19.3,135,11.07,8.37,3.4,0.86
"DI-SAV-1","DI","SAV","1",2017-09-27 12:25:00,2017-09-27,10,"CLADOCERA","Diaphanosoma","Diaphanosoma",NA,"not_spec",1.41371669411541,1.0149010863831e-06,1,0,1.3,19.3,135,11.07,8.37,3.4,0.86
"DI-SAV-1","DI","SAV","1",2017-11-01 15:20:00,2017-11-01,11,"CYCLOPOIDS","Eucyclops","Eucyclops",NA,"not_spec",1.44905961146829,9.66143827983321e-06,1,2,1.64592,17.7,156,15.69,9.36,7.4,3.02
"DI-SAV-1","DI","SAV","1",2017-11-01 15:20:00,2017-11-01,11,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.44905961146829,2.89843148394996e-05,1,2,1.64592,17.7,156,15.69,9.36,7.4,3.02
"DI-SAV-1","DI","SAV","1",2017-11-01 15:20:00,2017-11-01,11,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.44905961146829,1.93228765596664e-05,1,2,1.64592,17.7,156,15.69,9.36,7.4,3.02
"DI-SAV-1","DI","SAV","1",2017-11-01 15:20:00,2017-11-01,11,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.44905961146829,0.000193228765596664,1,2,1.64592,17.7,156,15.69,9.36,7.4,3.02
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.48440252882118,5.41387088766659e-05,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CYCLOPOIDS","Paracyclops","Paracyclops",NA,"not_spec",1.48440252882118,1.59231496696076e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Alona guttata","Alona","guttata","not_spec",1.48440252882118,1.59231496696076e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.48440252882118,4.93617639757836e-05,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",1.48440252882118,3.18462993392152e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.48440252882118,4.77694490088228e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.48440252882118,2.70693544383329e-05,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Daphnia","Daphnia",NA,"not_spec",1.48440252882118,4.77694490088228e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Graptoleberis","Graptoleberis",NA,"not_spec",1.48440252882118,1.59231496696076e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Picripleuroxus","Picripleuroxus",NA,"not_spec",1.48440252882118,3.18462993392152e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"CLADOCERA","Simocephalus","Simocephalus",NA,"not_spec",1.48440252882118,1.59231496696076e-06,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2017-11-28 12:30:00,2017-11-28,12,"HARPACTICOIDS","Harpacticoids","Harpacticoids",NA,"not_spec",1.48440252882118,1.27385197356861e-05,1,1,0.4572,13.9,206,12.44,8.38,3.6,0.49
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CYCLOPOIDS","Eucyclops","Eucyclops",NA,"not_spec",1.41371669411541,1.8525972211755e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.41371669411541,1.29681805482285e-05,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CYCLOPOIDS","Microcyclops rubellus","Microcyclops","rubellus","not_spec",1.41371669411541,9.26298610587751e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.41371669411541,1.66733749905795e-05,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",1.41371669411541,3.705194442351e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.41371669411541,3.705194442351e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.41371669411541,0.000277889583176325,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Daphnia","Daphnia",NA,"not_spec",1.41371669411541,3.705194442351e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Diaphanosoma","Diaphanosoma",NA,"not_spec",1.41371669411541,1.8525972211755e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Graptoleberis","Graptoleberis",NA,"not_spec",1.41371669411541,3.705194442351e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Picripleuroxus","Picripleuroxus",NA,"not_spec",1.41371669411541,1.29681805482285e-05,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"CLADOCERA","Sida","Sida",NA,"not_spec",1.41371669411541,1.8525972211755e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-01-10 11:50:00,2018-01-10,1,"HARPACTICOIDS","Harpacticoids","Harpacticoids",NA,"not_spec",1.41371669411541,5.5577916635265e-06,3,0,0.97536,10.5,428,11.25,7.8,5.6,1.1
"DI-SAV-1","DI","SAV","1",2018-02-06 09:18:00,2018-02-06,2,"CYCLOPOIDS","Eucyclops","Eucyclops",NA,"not_spec",1.41371669411541,4.5978094670992e-05,1,3,1.5,11.6,215,10.48,7.62,8.2,2.46
"DI-SAV-1","DI","SAV","1",2018-02-06 09:18:00,2018-02-06,2,"CYCLOPOIDS","Microcyclops rubellus","Microcyclops","rubellus","not_spec",1.41371669411541,4.5978094670992e-05,1,3,1.5,11.6,215,10.48,7.62,8.2,2.46
"DI-SAV-1","DI","SAV","1",2018-02-06 09:18:00,2018-02-06,2,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.41371669411541,1.53260315569973e-05,1,3,1.5,11.6,215,10.48,7.62,8.2,2.46
"DI-SAV-1","DI","SAV","1",2018-02-06 09:18:00,2018-02-06,2,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.41371669411541,0.00213031838642263,1,3,1.5,11.6,215,10.48,7.62,8.2,2.46
"DI-SAV-1","DI","SAV","1",2018-02-06 09:18:00,2018-02-06,2,"CLADOCERA","Moina","Moina",NA,"not_spec",1.41371669411541,1.53260315569973e-05,1,3,1.5,11.6,215,10.48,7.62,8.2,2.46
"DI-SAV-1","DI","SAV","1",2018-02-06 09:18:00,2018-02-06,2,"CLADOCERA","Picripleuroxus","Picripleuroxus",NA,"not_spec",1.41371669411541,0.000750975546292869,1,3,1.5,11.6,215,10.48,7.62,8.2,2.46
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"CYCLOPOIDS","Eucyclops agilis","Eucyclops","agilis","not_spec",0.459457925587507,0.000435295570849628,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"CLADOCERA","Alona","Alona",NA,"not_spec",0.459457925587507,0.000145098523616543,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",0.459457925587507,0.000145098523616543,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"CLADOCERA","Daphnia","Daphnia",NA,"not_spec",0.459457925587507,0.000290197047233086,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"CLADOCERA","Eurycercus","Eurycercus",NA,"not_spec",0.459457925587507,0.000290197047233086,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"CLADOCERA","Graptoleberis","Graptoleberis",NA,"not_spec",0.459457925587507,0.00116078818893234,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-06-07 11:06:00,2017-06-07,6,"HARPACTICOIDS","Harpacticoids","Harpacticoids",NA,"not_spec",0.459457925587507,0.000290197047233086,3,1,1,20.6,107,5.61,7.3,6.9,3.88
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CYCLOPOIDS","Eucyclops","Eucyclops",NA,"not_spec",1.41371669411541,5.46592733850954e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.41371669411541,3.64395155900636e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CYCLOPOIDS","Microcyclops rubellus","Microcyclops","rubellus","not_spec",1.41371669411541,1.82197577950318e-05,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CYCLOPOIDS","Paracyclops","Paracyclops",NA,"not_spec",1.41371669411541,1.82197577950318e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.41371669411541,0.000134826207683235,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",1.41371669411541,7.28790311801272e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.41371669411541,1.82197577950318e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CLADOCERA","Diaphanosoma","Diaphanosoma",NA,"not_spec",1.41371669411541,7.28790311801272e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"CLADOCERA","Pseudochydorus","Pseudochydorus",NA,"not_spec",1.41371669411541,1.82197577950318e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-07-31 11:01:00,2017-07-31,8,"HARPACTICOIDS","Harpacticoids","Harpacticoids",NA,"not_spec",1.41371669411541,1.82197577950318e-06,1,2,2.5,23.3,145,10.11,8.4,18.9,10.3
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CYCLOPOIDS","Eucyclops agilis","Eucyclops","agilis","not_spec",1.55508836352695,9.52518220019676e-06,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.55508836352695,5.39760324677817e-05,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CYCLOPOIDS","Microcyclops rubellus","Microcyclops","rubellus","not_spec",1.55508836352695,6.35012146679784e-06,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.55508836352695,1.58753036669946e-05,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",1.55508836352695,3.17506073339892e-06,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.55508836352695,6.66762754013774e-05,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.55508836352695,1.58753036669946e-05,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CLADOCERA","Diaphanosoma","Diaphanosoma",NA,"not_spec",1.55508836352695,1.58753036669946e-05,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-08-30 13:08:00,2017-08-30,9,"CLADOCERA","Leydigia","Leydigia",NA,"not_spec",1.55508836352695,3.17506073339892e-06,1,3,1.524,22.7,149,10.54,7.95,3.2,1.23
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CYCLOPOIDS","Eucyclops pectinifer","Eucyclops","pectinifer","not_spec",1.37837377676252,1.18497127620177e-05,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.37837377676252,6.81358483816016e-05,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CYCLOPOIDS","Macrocyclops albidus","Macrocyclops","albidus","not_spec",1.37837377676252,1.48121409525221e-05,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CYCLOPOIDS","Microcyclops rubellus","Microcyclops","rubellus","not_spec",1.37837377676252,7.99855611436192e-05,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",1.37837377676252,5.92485638100883e-06,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.37837377676252,5.92485638100883e-06,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.37837377676252,4.73988510480706e-05,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CLADOCERA","Picripleuroxus","Picripleuroxus",NA,"not_spec",1.37837377676252,2.96242819050441e-06,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-09-27 13:10:00,2017-09-27,10,"CLADOCERA","Sida","Sida",NA,"not_spec",1.37837377676252,5.92485638100883e-06,1,0,1.1,19.3,146,8.48,7.69,2.8,0.48
"DI-SAV-2","DI","SAV","2",2017-11-01 15:45:00,2017-11-01,11,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.44905961146829,2.6011564599551e-05,1,2,1.49352,16.79,162,9.45,7.96,2.9,1.34
