sample,date,sample_month,time_pdt,tow1_length_m,tow1_sub_area_prop,tow2_length_m,tow2_sub_area_prop,tow3_length_m,tow3_sub_area_prop,tow4_length_m,tow4_sub_area_prop
LH-SAV-2,8/2/2017,8,18:24,5,1,5,1,5,1,5,1
LH-WAT-1,8/2/2017,8,14:20,5,1,5,1,5,1,4.5,1
LH-WAT-2,8/2/2017,8,18:08,5,1,5,1,5,1,5,1
FI-SAV-1,8/28/2017,9,12:00,5,1,5,1,5,1,5,1
FI-SAV-2,8/28/2017,9,15:10,5,1,5,1,5,1,5,1
FI-WAT-1,8/28/2017,9,11:30,5,1,5,1,5,1,5,1
FI-WAT-2,8/28/2017,9,14:50,5,1,5,1,5,1,5,1
LH-SAV-1,8/28/2017,9,13:20,5,1,5,1,5,1,5,1
LH-SAV-2,8/28/2017,9,14:15,5,1,5,1,5,1,5,1
LH-WAT-1,8/28/2017,9,12:45,5,1,5,1,5,1,5,1
LH-WAT-2,8/28/2017,9,14:00,5,1,5,1,5,1,5,1
DI-SAV-1,8/30/2017,9,12:35,5.5,1,5.5,1,5.5,1,5,0.9
DI-SAV-2,8/30/2017,9,13:08,5.5,1,5.5,1,5.5,1,5.5,1
DI-WAT-1,8/30/2017,9,12:05,4,1,5.5,1,5.5,1,5.5,1
DI-WAT-2,8/30/2017,9,12:55,5.5,1,5.5,1,5.5,1,5.5,1
DI-SAV-1,9/27/2017,10,12:25,5,1,5,1,5,1,5,1
DI-SAV-2,9/27/2017,10,13:10,5,1,4,1,5,1,5.5,1
DI-WAT-1,9/27/2017,10,11:55,5,1,5,1,5,1,5,1
DI-WAT-2,9/27/2017,10,12:50,5,1,5,1,3.5,1,5.5,1
FI-SAV-1,9/28/2017,10,13:02,5.5,1,5,1,5,1,5,1
FI-SAV-2,9/28/2017,10,16:20,5,1,5,1,5,1,5.5,1
FI-WAT-1,9/28/2017,10,12:35,5,1,5,1,5,1,5,1
FI-WAT-2,9/28/2017,10,15:54,5,1,5,1,5,1,5,1
LH-SAV-1,9/28/2017,10,14:20,5,1,5,1,5,1,5,1
LH-SAV-2,9/28/2017,10,15:15,5,1,4,1,4,1,5,1
LH-WAT-1,9/28/2017,10,13:40,5,1,5,1,5,1,5,1
LH-WAT-2,9/28/2017,10,14:55,5,1,5,1,5,1,5,1
FI-SAV-1,10/30/2017,11,15:27,6.5,1,6.5,1,6.5,1,6.5,1
FI-SAV-2,10/30/2017,11,16:12,6.5,1,6.5,1,6.5,1,6.5,1
FI-WAT-1,10/30/2017,11,15:00,6.5,1,6.5,1,6.5,1,6.5,1
FI-WAT-2,10/30/2017,11,15:58,6.5,1,6.5,1,6.5,1,6.5,1
LH-SAV-1,10/30/2017,11,14:26,6.5,1,6.5,1,6.5,1,6.5,1
LH-SAV-2,10/30/2017,11,13:18,6.5,1,6.5,1,6.5,1,6.5,1
LH-WAT-1,10/30/2017,11,13:42,6.5,1,6.5,1,6.5,1,6.5,1
LH-WAT-2,10/30/2017,11,13:03,6.5,1,6.5,1,6.5,1,6.5,1
DI-SAV-1,11/1/2017,11,15:20,5.5,1,5,1,5,1,5,1
DI-SAV-2,11/1/2017,11,15:45,5.5,1,5,1,5,1,5,1
DI-WAT-1,11/1/2017,11,14:55,5,1,5.5,1,5.5,1,5.5,1
DI-WAT-2,11/1/2017,11,16:03,5,1,5,1,5,1,5,1
DI-SAV-1,11/28/2017,12,12:30,5.5,1,4.5,1,5.5,1,5.5,1
DI-SAV-2,11/28/2017,12,11:20,5.5,1,5.5,1,5.5,1,5.5,1
DI-WAT-1,11/28/2017,12,12:00,5.5,1,5.5,1,5.5,1,5.5,1
DI-WAT-2,11/28/2017,12,11:45,5.5,1,5.5,1,5.5,1,5.5,1
FI-SAV-1,11/30/2017,12,15:05,5.5,1,5.5,1,5.5,1,5.5,1
FI-SAV-2,11/30/2017,12,15:24,5.5,1,5.5,1,5.5,1,5.5,1
FI-WAT-1,11/30/2017,12,14:48,5.5,1,5.5,1,5.5,1,5.5,1
FI-WAT-2,11/30/2017,12,15:37,5.5,1,5.5,1,5.5,1,5.5,1
LH-SAV-1,11/30/2017,12,13:35,5.5,1,5.5,1,5.5,1,5.5,1
LH-SAV-2,11/30/2017,12,14:26,5.5,1,5.5,1,5.5,1,5.5,1
LH-WAT-1,11/30/2017,12,13:03,5.5,1,5.5,1,5.5,1,4.5,1
LH-WAT-2,11/30/2017,12,14:11,5.5,1,4.5,1,5.5,1,5.5,1
DI-SAV-1,1/10/2018,1,11:50,5,1,5,1,5,1,5,1
DI-SAV-2,1/10/2018,1,12:25,4.5,1,5,1,5,1,4.5,1
DI-WAT-1,1/10/2018,1,11:15,5.5,1,5,1,5,1,5,1
DI-WAT-2,1/10/2018,1,12:10,5,1,5,1,5,1,5,1
FI-SAV-1,1/11/2018,1,13:20,5,1,5,1,5,1,5,1
FI-SAV-2,1/11/2018,1,13:43,5,1,5,1,5,1,5,1
FI-WAT-1,1/11/2018,1,12:55,5,1,5,1,5,1,5,1
FI-WAT-2,1/11/2018,1,13:54,5,1,5,1,5,1,5,1
LH-SAV-1,1/11/2018,1,11:42,5,1,5,1,5,1,5,1
LH-SAV-2,1/11/2018,1,12:30,4,1,5,1,5,1,5,1
LH-WAT-1,1/11/2018,1,11:10,4,1,5,1,5,1,5,1
LH-WAT-2,1/11/2018,1,12:18,5,0.95,5,1,5,1,5,1
DI-SAV-1,2/6/2018,2,9:18,5,1,5,1,5,1,5,1
DI-SAV-2,2/6/2018,2,9:55,5,1,5,1,5,1,5,1
DI-WAT-1,2/6/2018,2,8:45,5,1,5,1,5,1,5,1
DI-WAT-2,2/6/2018,2,9:55,5,1,5,1,5,1,5,1
FI-SAV-1,2/8/2018,2,13:36,5,1,4,1,5,1,5,1
FI-SAV-2,2/8/2018,2,14:20,5,1,5,1,5,1,5,1
FI-WAT-1,2/8/2018,2,13:13,5,1,5,1,5,1,5,1
FI-WAT-2,2/8/2018,2,14:04,5,1,5,1,5,1,5,1
LH-SAV-1,2/8/2018,2,11:30,5,1,5,1,5,1,5,1
LH-SAV-2,2/8/2018,2,12:19,5,1,5,1,4,1,5,1
LH-WAT-1,2/8/2018,2,10:33,5,1,5,1,5,1,5,1
LH-WAT-2,2/8/2018,2,12:43,5,1,5,1,5,1,5,1
FI-SAV-1,3/12/2018,3,15:15,5,1,5,1,5,1,5,1
FI-SAV-2,3/12/2018,3,15:55,5,1,5,1,5,1,5,1
FI-WAT-1,3/12/2018,3,15:40,5,1,5,1,5,1,5,1
FI-WAT-2,3/12/2018,3,16:05,5,1,5,1,5,1,5,1
LH-SAV-1,3/12/2018,3,14:00,5,1,5,1,5,1,5,1
LH-SAV-2,3/12/2018,3,14:45,5,1,5,1,5,1,5,1
LH-WAT-1,3/12/2018,3,14:15,4,1,5,1,5,1,5,1
LH-WAT-2,3/12/2018,3,14:55,5,1,5,1,5,1,5,1
USGS #5,3/12/2018,3,16:47,5,1,4,1,5,1,5,1
USGS #8,3/12/2018,3,16:20,5,1,5,1,5,1,5,1
DI-SAV-1,3/14/2018,3,14:35,5,1,5,1,5,1,5,1
DI-SAV-2,3/14/2018,3,16:50,5,1,5,1,5,0.8,5,1
DI-WAT-1,3/14/2018,3,15:35,5,1,5,1,5,1,5,1
DI-WAT-2,3/14/2018,3,16:35,5,1,5,1,5,1,4,1
FI-SAV-1,4/10/2018,4,13:12,5,1,5,1,5,1,5,1
FI-SAV-2,4/10/2018,4,13:59,5,1,5,1,5,1,5,1
FI-WAT-1,4/10/2018,4,13:42,5,1,5,1,5,1,5,1
FI-WAT-2,4/10/2018,4,14:15,5,1,5,1,5,1,5,1
LH-SAV-1,4/10/2018,4,14:35,5,1,5,1,5,1,5,1
LH-SAV-2,4/10/2018,4,15:38,5,1,5,1,5,1,5,1
LH-WAT-1,4/10/2018,4,15:07,5,1,5,1,5,1,5,1
LH-WAT-2,4/10/2018,4,15:50,5,1,5,1,5,1,5,1
USGS #5,4/10/2018,4,16:08,5,1,5,1,5,1,5,1
USGS #8,4/10/2018,4,16:27,5,1,5,1,5,1,5,1
DI-SAV-1,4/17/2018,4,18:25,5,1,5,1,4,1,5,1
DI-SAV-2,4/17/2018,4,19:25,5,1,5,1,5,1,4,1
DI-WAT-1,4/17/2018,4,19:05,5,1,5,1,5,1,5,1
DI-WAT-2,4/17/2018,4,19:40,5,1,5,1,5,1,5,1
DI-SAV-1,5/7/2018,5,9:00,5,1,5,1,5,1,5,1
DI-SAV-2,5/7/2018,5,10:20,5,1,5,1,5,1,5,1
DI-WAT-1,5/7/2018,5,9:30,5,1,5,1,5,1,5,1
DI-WAT-2,5/7/2018,5,10:50,5,1,5,1,5,1,5,1
FC-SAV-1,5/7/2018,5,11:45,5,1,4,1,4,1,4,1
FC-SAV-2,5/7/2018,5,12:45,4,1,5,1,5,1,5,1
FC-WAT-1,5/7/2018,5,12:15,5,1,5,1,5,1,5,1
FC-WAT-2,5/7/2018,5,13:05,5,1,5,1,5,1,4,1
FI-SAV-1,5/8/2018,5,14:21,4,1,5,1,5,1,4,1
FI-SAV-2,5/8/2018,5,14:09,5,1,4,1,5,1,5,1
FI-WAT-1,5/8/2018,5,14:53,5,1,5,1,5,1,5,1
FI-WAT-2,5/8/2018,5,14:25,5,1,5,1,5,1,5,1
LH-SAV-1,5/8/2018,5,12:20,4,1,4,1,5,1,4,1
LH-SAV-2,5/8/2018,5,13:23,4,1,5,1,5,1,5,1
LH-WAT-1,5/8/2018,5,12:45,4,1,5,1,5,1,5,1
LH-WAT-2,5/8/2018,5,13:40,5,1,5,1,5,1,4,1
USGS #5,5/8/2018,5,14:00,5,1,5,1,5,1,4,1
USGS #8,5/8/2018,5,16:00,5,1,5,1,5,1,5,1
DI-SAV-1,6/5/2018,6,9:05,5,1,5,1,5,1,5,1
DI-SAV-2,6/5/2018,6,10:27,5,1,5,1,5,1,5,1
DI-WAT-1,6/5/2018,6,9:45,5,1,5,1,5,1,5,1
DI-WAT-2,6/5/2018,6,10:15,5,1,5,1,5,1,5,1
FC-SAV-1,6/5/2018,6,11:50,5,1,5,1,5,1,5,1
FC-SAV-2,6/5/2018,6,12:40,5,1,5,1,5,1,5,1
FC-WAT-1,6/5/2018,6,11:30,5,1,5,1,4,1,5,1
FC-WAT-2,6/5/2018,6,12:25,5,1,5,1,5,1,5,1
FI-SAV-1,6/6/2018,6,11:53,5,1,5,1,5,1,5,1
FI-SAV-2,6/6/2018,6,12:28,5,1,5,1,5,1,5,1
FI-WAT-1,6/6/2018,6,12:13,5,1,5,1,5,1,5,1
FI-WAT-2,6/6/2018,6,12:41,5,1,5,1,5,1,5,1
LH-SAV-1,6/6/2018,6,10:25,5,1,5,1,5,1,5,1
LH-SAV-2,6/6/2018,6,11:18,5,1,5,1,5,1,5,1
LH-WAT-1,6/6/2018,6,11:00,5,1,5,1,5,1,5,1
LH-WAT-2,6/6/2018,6,11:30,5,1,5,1,5,1,5,1
USGS #5,6/6/2018,6,13:26,5,1,5,0.9,5,1,5,1
USGS #8,6/6/2018,6,13:02,5,1,5,1,5,1,5,1
FI-SAV-1,7/5/2018,7,12:15,4.5,1,4.5,1,5,1,5,1
FI-SAV-2,7/5/2018,7,13:25,5,1,5,1,5,1,5,1
FI-WAT-1,7/5/2018,7,12:55,5,1,4.5,1,5,1,5,1
FI-WAT-2,7/5/2018,7,13:36,5,1,5,1,5,1,4.5,1
LH-SAV-1,7/5/2018,7,10:55,5,1,5,1,5,1,5,1
LH-SAV-2,7/5/2018,7,11:52,5,1,5,1,5,1,5,1
LH-WAT-1,7/5/2018,7,11:15,5,1,5,1,5,1,5,1
LH-WAT-2,7/5/2018,7,11:37,5,1,5,1,5,1,5,1
USGS #5,7/5/2018,7,14:25,5,1,5,1,5,1,5,1
USGS #8,7/5/2018,7,14:00,5,1,5,1,5,1,5,1
DI-SAV-1,7/9/2018,7,14:50,5,1,5,1,5,1,5,1
DI-SAV-2,7/9/2018,7,15:50,5,1,5,1,5,1,5,1
DI-WAT-1,7/9/2018,7,15:30,4.5,1,5,1,5,1,5,1
DI-WAT-2,7/9/2018,7,15:55,5,1,5,1,5,1,5,1
FC-SAV-1,7/9/2018,7,17:00,5,1,5,1,5,1,5,1
FC-SAV-2,7/9/2018,7,17:55,4,1,4,1,3.5,1,3,1
FC-WAT-1,7/9/2018,7,17:35,5,1,5,1,5,1,5,1
FC-WAT-2,7/9/2018,7,18:15,5,1,5,1,5,1,5,1
FI-SAV-1,8/7/2018,8,16:50,5,1,5,1,5,1,5,1
FI-SAV-2,8/7/2018,8,17:35,5,1,5,1,5,1,5,1
FI-WAT-1,8/7/2018,8,17:20,5,1,5,1,5,1,5,1
FI-WAT-2,8/7/2018,8,17:50,4,1,5,1,5,1,5,1
LH-SAV-1,8/7/2018,8,15:20,5,1,5,1,5,1,5,1
LH-SAV-2,8/7/2018,8,16:30,5,1,5,1,5,1,5,1
LH-WAT-1,8/7/2018,8,15:55,5,1,5,1,5,1,5,1
LH-WAT-2,8/7/2018,8,16:15,5,1,5,1,5,1,5,1
USGS #5,8/7/2018,8,18:30,5,1,5,1,5,1,5,1
USGS #8,8/7/2018,8,18:05,5,1,5,1,5,1,5,1
DI-SAV-1,8/8/2018,8,16:40,5,1,5,1,5,1,4.5,1
DI-SAV-2,8/8/2018,8,17:36,5,1,5,1,5,1,5,1
DI-WAT-1,8/8/2018,8,17:17,4,1,5,1,5,1,5,1
DI-WAT-2,8/8/2018,8,17:50,5,1,5,1,3,1,4,1
FC-SAV-1,8/8/2018,8,15:00,5,1,5,1,5,1,5,1
FC-SAV-2,8/8/2018,8,15:45,5,1,5,1,5,1,5,1
FC-WAT-1,8/8/2018,8,15:33,4,1,5,1,3.5,1,5,1
FC-WAT-2,8/8/2018,8,16:04,5,1,5,1,5,1,5,1
FI-SAV-1,9/17/2018,9,17:15,5,1,5,1,5,1,5,1
FI-SAV-2,9/17/2018,9,18:00,4,1,5,1,5,1,4,0
FI-WAT-1,9/17/2018,9,17:40,5,1,4,1,5,1,4,1
FI-WAT-2,9/17/2018,9,18:10,5,1,5,1,5,1,4,1
LH-SAV-1,9/17/2018,9,15:15,5,1,5,1,5,1,5,1
LH-SAV-2,9/17/2018,9,16:30,4,1,5,1,5,1,4,1
LH-WAT-1,9/17/2018,9,15:55,4,1,5,1,5,1,5,1
LH-WAT-2,9/17/2018,9,16:15,5,1,5,1,5,1,5,1
USGS #5,9/17/2018,9,18:30,5,1,5,1,5,1,4,1
USGS #8,9/17/2018,9,16:55,5,1,5,1,4,1,5,1
DI-SAV-1,9/18/2018,9,15:08,5,1,5,1,5,1,5,1
DI-SAV-2,9/18/2018,9,16:03,5,0.75,5,0.75,5,0.75,5,1
DI-WAT-1,9/18/2018,9,15:35,5,1,5,1,5,1,5,1
DI-WAT-2,9/18/2018,9,15:48,5,1,5,1,5,1,5,1
FC-SAV-1,9/18/2018,9,16:41,5,1,5,1,5,1,5,1
FC-SAV-2,9/18/2018,9,17:20,5,1,5,1,5,1,5,1
FC-WAT-1,9/18/2018,9,17:08,5,1,5,1,5,1,5,1
FC-WAT-2,9/18/2018,9,17:32,5,1,5,1,5,1,5,1
FI-SAV-1,10/16/2018,10,13:50,5,1,5,1,5,1,5,1
FI-SAV-2,10/16/2018,10,12:53,5,1,5,1,5,1,5,1
FI-WAT-1,10/16/2018,10,14:10,5,1,5,1,5,1,5,1
FI-WAT-2,10/16/2018,10,13:10,5,1,5,1,5,1,5,1
LH-SAV-1,10/16/2018,10,15:00,5,1,5,1,5,1,5,1
LH-SAV-2,10/16/2018,10,14:45,5,1,5,1,5,1,5,1
LH-WAT-1,10/16/2018,10,15:25,5,1,5,1,5,1,5,1
LH-WAT-2,10/16/2018,10,14:30,5,1,5,1,5,1,5,1
USGS #5,10/16/2018,10,15:45,5,1,5,1,5,1,5,1
USGS #8,10/16/2018,10,13:28,5,1,5,1,5,1,5,1
DI-SAV-1,10/17/2018,10,12:24,5,1,5,1,5,1,4,1
DI-SAV-2,10/17/2018,10,13:05,4,1,4,1,4,1,4,1
DI-WAT-1,10/17/2018,10,12:45,4,1,5,1,5,1,5,1
DI-WAT-2,10/17/2018,10,13:30,4,1,5,1,5,1,5,1
FC-SAV-1,10/17/2018,10,14:07,5,1,5,1,5,1,5,1
FC-SAV-2,10/17/2018,10,14:53,5,1,5,1,5,1,5,1
FC-WAT-1,10/17/2018,10,14:37,5,1,5,1,5,1,5,1
FC-WAT-2,10/17/2018,10,15:04,5,1,5,1,5,1,5,1
FI-SAV-1,12/17/2018,12,12:20,5,1,5,1,5,1,5,1
FI-SAV-2,12/17/2018,12,13:07,5,1,4.5,1,5,1,5,1
FI-WAT-1,12/17/2018,12,12:54,5,1,5,1,5,1,5,1
FI-WAT-2,12/17/2018,12,13:18,5,1,5,1,5,1,5,1
LH-SAV-1,12/17/2018,12,13:52,5,1,5,1,5,1,5,1
LH-SAV-2,12/17/2018,12,14:30,5,1,5,1,5,1,5,1
LH-WAT-1,12/17/2018,12,14:15,5,1,5,1,5,1,5,1
LH-WAT-2,12/17/2018,12,14:42,5,1,5,1,5,1,5,1
USGS #5,12/17/2018,12,15:00,5,1,5,1,5,1,5,1
USGS-8,12/17/2018,12,13:34,5,1,5,1,5,1,5,1
DI-SAV-1,12/18/2018,12,11:50,5,1,4.5,1,5,1,5,1
DI-SAV-2,12/18/2018,12,12:45,5,1,4.5,1,4.5,1,5,1
DI-WAT-1,12/18/2018,12,12:21,5,1,5,1,4.5,1,4.5,1
DI-WAT-2,12/18/2018,12,12:55,5,1,4.5,1,4.5,1,4.5,1
FC-SAV-1,12/18/2018,12,13:28,5,1,4.5,1,4.5,1,5,1
FC-SAV-2,12/18/2018,12,14:15,5,1,4.5,1,4.5,1,5,1
FC-WAT-1,12/18/2018,12,14:00,5,1,5,1,4.5,1,4.5,1
FC-WAT-2,12/18/2018,12,14:30,4.5,1,4.5,1,4.5,1,4.5,1
